DATE,XTNTVA01KRM667S
2017-02-01,8838335552.89448
2017-03-01,6857566485.373199
2017-04-01,10716158463.3277
2017-05-01,6272112431.16152
2017-06-01,9496695679.90724
2017-07-01,8811440503.75098
2017-08-01,8374518972.974821
2017-09-01,12456350207.5578
2017-10-01,5629088777.778119
2017-11-01,7271932258.58864
2017-12-01,5832156242.42185
2018-01-01,7101391240.10299
2018-02-01,4736524206.72063
2018-03-01,6141419129.82811
2018-04-01,4627473044.01157
2018-05-01,7147358555.00314
2018-06-01,4302932653.18817
2018-07-01,6583527569.22511
2018-08-01,8434991071.32909
2018-09-01,6344916160.739719
2018-10-01,7260189182.6486
2018-11-01,4462154414.37859
2018-12-01,3800361466.35132
2019-01-01,5031217183.789969
2019-02-01,3730956322.0760503
2019-03-01,4261887936.5915704
2019-04-01,3737847122.7292
2019-05-01,3089907603.0198097
2019-06-01,1140369609.0321
2019-07-01,2603326138.74855
2019-08-01,3173494613.79842
2019-09-01,3473757278.2329803
2019-10-01,5206529222.405399
2019-11-01,2641473466.05669
2019-12-01,2707009032.58717
2020-01-01,3306958865.1889997
2020-02-01,5213533330.644719
2020-03-01,4781379889.22904
2020-04-01,-2181462827.3592
2020-05-01,-300601747.470016
2020-06-01,2440241929.19395
2020-07-01,4259471255.1766696
2020-08-01,3974845474.49741
2020-09-01,7123966015.8792
2020-10-01,5374854498.24176
2020-11-01,4784233839.976029
2020-12-01,7490870085.653891
2021-01-01,5954698529.63269
2021-02-01,3918864592.13444
2021-03-01,4324115118.74316
2021-04-01,294989179.356308
2021-05-01,2459273925.61136
2021-06-01,2631575617.8346
2021-07-01,1906901845.33335
2021-08-01,2866270862.13511
2021-09-01,1826400697.7796302
2021-10-01,942331743.865105
2021-11-01,2818511524.48989
2021-12-01,1028533006.08817
2022-01-01,-2892075999.23288
2022-02-01,2649565756.39147
2022-03-01,1057059504.5820498
2022-04-01,-3612777883.82895
2022-05-01,-1056787616.5216801
2022-06-01,-3949017286.32626
2022-07-01,-6395215939.78484
2022-08-01,-7222711995.97635
2022-09-01,-5965587924.98735
2022-10-01,-7795625263.60553
2022-11-01,-7091054802.0687
